,Test,IPC,Instructions,Cycles,Branch Prediction Accuracy,MPKI,Avg ROB occupancy at mispredict,Branch indirect Jump,Branch Indirect,Branch Conditional,Branch Direct Call,Branch Indirect Call,Branch_Return
0,454.calculix-104B,2.814,5000001.0,1776556.0,90.1,8.92,48.84,0.0024,0.0,8.91,0.0018,0.0,0.0018
0,444.namd-321B,3.372,5000003.0,1483007.0,94.79,2.521,52.69,0.0006,0.0,2.52,0.0,0.0,0.0004
0,600.perlbench_s-210B,2.899,5000004.0,1724765.0,97.48,4.41,67.79,0.126,0.0238,4.24,0.0064,0.0034,0.0066
0,458.sjeng-1088B,1.285,5000002.0,3889707.0,88.49,25.54,15.07,0.027,0.96,24.1,0.0036,0.36,0.0946
0,436.cactusADM-1804B,2.003,5000000.0,2495745.0,98.33,0.0112,210.5,0.0,0.0,0.0112,0.0,0.0,0.0
0,400.perlbench-41B,0.978,5000000.0,5112684.0,90.44,19.47,20.81,0.16,0.557,16.7,0.097,1.85,0.133
