,Test,IPC,Instructions,Cycles,Branch Prediction Accuracy,MPKI,Avg ROB occupancy at mispredict,Branch indirect Jump,Branch Indirect,Branch Conditional,Branch Direct Call,Branch Indirect Call,Branch_Return
0,454.calculix-104B,1.711,5000001.0,2922267.0,63.94,32.49,18.18,0.0024,0.0,32.5,0.0018,0.0,0.0018
0,444.namd-321B,2.114,5000002.0,2365258.0,69.95,14.54,3.992,0.0006,0.0,14.5,0.0,0.0,0.0004
0,436.cactusADM-1804B,2.003,5000000.0,2495745.0,98.33,0.0112,210.5,0.0,0.0,0.0112,0.0,0.0,0.0
0,600.perlbench_s-210B,0.8298,5000004.0,6025729.0,57.26,74.74,3.209,0.126,0.0238,74.6,0.0064,0.0034,0.0066
0,458.sjeng-1088B,0.5212,5000000.0,9593049.0,49.38,112.3,1.443,0.027,0.96,111.0,0.0036,0.36,0.0946
0,400.perlbench-41B,0.494,5000000.0,10121389.0,57.56,86.38,4.029,0.16,0.557,83.6,0.097,1.85,0.133
