generation,average_fitness,best_fitness
0,96.22812879785029,96.66215877971648
1,96.41392924411801,96.62042843072588
2,96.41219196401417,96.58685129635428
3,96.47767955336887,96.5791134338616
4,96.45975987265503,96.62277593251456
5,96.46284331845541,96.56500655324271
6,96.47546211683357,96.6234764567549
7,96.51034302858427,96.61005045830923
8,96.49354530125814,96.62717098383095
9,96.45278015904812,96.63527838008288
10,96.49652682015696,96.59444848985669
11,96.49790189753504,96.67031527032567
12,96.45788556077093,96.63250023990351
13,96.49003822546702,96.63981881848736
14,96.50404862355882,96.62965817341451
15,96.53510459457324,96.64745907701901
16,96.50982704415644,96.6388930551289
17,96.4360460224832,96.62719158315534
18,96.52331972172034,96.64033664208075
19,96.48569277553524,96.62324033628985
20,96.52899298441166,96.63418625396326
21,96.45314143648517,96.6154544524152
22,96.49792393351328,96.60212016865556
23,96.51781265070167,96.59816133345404
24,96.52236687661919,96.62245683745788
25,96.48619212622239,96.6273851133723
26,96.50051067232273,96.62112112893571
27,96.55761357583408,96.64852482729782
28,96.55314449639461,96.65318486738046
29,96.49926565570192,96.67257804820248
30,96.55312769647945,96.64224861962968
31,96.53904578024117,96.63641588205769
